type	icdc	bridg	bid
relationship	member_of	(Arm as subdividingArm)<-[:is_a_division_of]-(StudyProtocolVersion as subdividedStudyProtocolVersion)	EAID_9EC3E2E4_2AF7_41a6_9155_2ABB2380D8C3
property	ctep_treatment_assignment_code	Arm.name	EAID_045B2CCD_865A_4e63_A3FD_4D5A242D7D6F
property	arm_description	Arm.description	EAID_594C80A2_6A4F_4e53_AA59_47CD36295FBC
property	arm	Arm.name	EAID_045B2CCD_865A_4e63_A3FD_4D5A242D7D6F
node	study_arm	Arm	EAID_3A2BE812_FD20_4597_A4E0_336DC4ACE897
relationship	member_of	ProjectRelationship	EAID_6673B0FE_A742_4c1f_A0C7_34F3ABBB52FE
property	dates_of_conduct	StudyConduct.dateRange	none
property	date_of_iacuc_approval	StudySiteOversightStatus.reviewBoardProcessDate	EAID_0C4205A0_48EB_418f_8646_34596E1586E7
property	clinical_study_type	StudyProtocolVersion.primaryPurposeTypeCode	EAID_F1267EFF_EB23_4ee3_85C4_24AF7B5D94FC
property	clinical_study_name	DocumentVersion.officialTitle	EAID_F08AEC44_C1D6_4067_8372_79CB83AA09CE
property	clinical_study_id	Document.identifier	EAID_532B090E_D3DC_4911_835B_32B3327B3606
property	clinical_study_designation	StudyProtocolVersion.acronym	EAID_8B0DDE11_ABCC_4353_B20C_48BEE2A18A85
property	clinical_study_description	Project.description	EAID_03FC7BE8_35D4_4851_BDDA_84BF4201AE6B
node	study	Study	EAID_0A5A459A_5167_44b5_82CB_611C206337A8
relationship	next	(PerformedMaterialProcessStep)<--(Material as producedMaterial)	none
relationship	on_visit	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
relationship	of_case	(Activity as involvingActivity)<-[:be_participated_in_by]-(Subject as involvedSubject)	EAID_9CF299D7_9938_4f6c_B2A8_38AE69C6CAAC
property	width_of_tumor	PerformedLesionDescription.yDimension	EAID_CCDEB8D6_04E5_43dd_9EA7_0CE1D0E7C986
property	specific_sample_pathology	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	sample_type	Material.code	EAID_B2F8E208_1490_4ec9_844F_FAD4C59F67C6
property	sample_site	PerformedProcedure.targetAnatomicSiteCode	EAID_E57A853A_4279_4538_A38B_5F212D23F7BC
property	sample_id	Material.identifier	EAID_98FC4BEA_81A7_4044_BB26_03DEE7AF70A0
property	percentage_tumor	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	percentage_stroma	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	length_of_tumor	PerformedLesionDescription.xDimension	EAID_2222142C_6AA3_4c58_926C_42CFD88ED388
property	general_sample_pathology	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	date_of_sample_collection	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	comment	Activity.comment	EAID_F45F210C_1655_4879_B167_701FCDE8D849
node	sample	BiologicSpecimen	EAID_DE36547D_B00C_4982_9887_922CEAD025C9
relationship	at_enrollment	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
property	treatment_performed_at_site	Place.name	EAID_ED22E8B0_2A96_46df_9683_0694A3A71FF1
property	total_number_of_doses_steroid	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	total_number_of_doses_nsaid	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	total_number_of_doses_any_therapy	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	total_dose	PerformedSubstanceAdministration.periodProductDoseTotal	EAID_1B71B82D_627D_4b0b_ADAE_109CC051181F
property	prior_therapy_type	Product.typeCode	EAID_199A842E_C83F_4c0c_B240_CCB74D309C2F
property	prior_steroid_exposure	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	prior_nsaid_exposure	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	number_of_prior_regimens_steroid	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	number_of_prior_regimens_nsaid	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	number_of_prior_regimens_any_therapy	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	dose_schedule	PerformedSubstanceAdministration.productDoseDescription	EAID_5E6CF92C_11B6_467c_9EBC_226DDD09CA0A
property	date_of_last_dose_steroid	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	date_of_last_dose_nsaid	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	date_of_last_dose_any_therapy	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	date_of_last_dose	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_of_first_dose	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	best_response	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	agent_units_of_measure	PerformedSubstanceAdministration.periodProductDoseTotal	EAID_1B71B82D_627D_4b0b_ADAE_109CC051181F
property	agent_name	MaterialName.name	EAID_CB0BE9F4_F850_4b25_BF3D_B3844C7B7073
node	prior_therapy	PerformedSubstanceAdministration	EAID_CE070FC5_5B80_404b_8E4A_3249008E6F13
relationship	at_enrollment	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
property	surgical_finding	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	residual_disease	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	procedure	DefinedActivity.nameCode	EAID_FA7EB2DC_D274_4a6d_9BA4_110E8931F8AD
property	date_of_surgery	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	anatomical_site_of_surgery	PerformedProcedure.targetAnatomicSiteCode	EAID_E57A853A_4279_4538_A38B_5F212D23F7BC
node	prior_surgery	PerformedProcedure	EAID_38B180D1_CE88_4443_B857_534D0CD57C90
relationship	of_study	(StudyPersonnel as performedStudyPersonnel)<-[:perform_a_role_for]-(StudyProtocolVersion as performingStudyProtocolVersion)	EAID_7AC59413_A013_4a55_8A47_794F0E0CC2BF
property	pi_middle_initial	BiologicEntity.name	EAID_4A463DA2_D76D_43bc_A472_A36B9B89FA68
property	pi_last_name	BiologicEntity.name	EAID_4A463DA2_D76D_43bc_A472_A36B9B89FA68
property	pi_first_name	BiologicEntity.name	EAID_4A463DA2_D76D_43bc_A472_A36B9B89FA68
node	principal_investigator	StudyInvestigator	EAID_3099B2F6_5EA8_4fd3_9951_59B3738F575B
relationship	on_visit	PlannedActivity.name	EAID_DD54150C_BDB6_4b01_AFE8_511B065299A1
relationship	at_enrollment	PlannedActivity.name	EAID_DD54150C_BDB6_4b01_AFE8_511B065299A1
property	pe_finding	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	pe_comment	PerformedObservationResult.comment	EAID_FE4B2779_FB5D_4c97_B565_705B090D090C
property	date_of_examination	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	body_system	PerformedObservation.bodySystemCode	EAID_2304D555_C500_40b0_90C5_EFBB58A612DC
property	assessment_timepoint	PlannedActivity.name	EAID_DD54150C_BDB6_4b01_AFE8_511B065299A1
node	physical_exam	PerformedObservation	EAID_E131CF62_27E5_4eee_A9D1_DE1E0C514227
property	reason_off_treatment	PerformedStudySubjectMilestone.offStudyReasonCode	EAID_CB3409EB_7165_4c0f_A97E_28A8D0C99E3B
property	document_number	DocumentVersion.identifier	EAID_D28380F0_C472_4812_A9C1_3A9F9BA74529
property	date_off_treatment	PerformedStudySubjectMilestone.offStudyReasonCode	EAID_CB3409EB_7165_4c0f_A97E_28A8D0C99E3B
property	date_of_disease_progression	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_of_best_response	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_last_medication_administration	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
node	off_treatment	PerformedStudySubjectMilestone	EAID_65204653_409B_45d3_8FAD_869E5912444C
property	reason_off_study	PerformedStudySubjectMilestone.offStudyReasonCode	EAID_CB3409EB_7165_4c0f_A97E_28A8D0C99E3B
property	document_number	DocumentVersion.identifier	EAID_D28380F0_C472_4812_A9C1_3A9F9BA74529
property	date_off_treatment	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_off_study	PerformedStudySubjectMilestone.offStudyDate	EAID_C00615BF_C49C_4df7_9404_9015CDCE2EA8
property	date_of_disease_progression	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_of_best_response	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_last_medication_administration	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
node	off_study	PerformedStudySubjectMilestone	EAID_65204653_409B_45d3_8FAD_869E5912444C
relationship	of_case	(Activity as involvingActivity)<-[:be_participated_in_by]-(Subject as involvedSubject)	EAID_9CF299D7_9938_4f6c_B2A8_38AE69C6CAAC
property	treatment_since_last_contact	MaterialName.name	EAID_CB0BE9F4_F850_4b25_BF3D_B3844C7B7073
property	physical_exam_performed	PerformedActivity.negationIndicator	EAID_91357124_2FED_4b8c_BED4_A47610D20045
property	patient_status	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	explain_unknown_status	PerformedObservationResult.comment	EAID_FE4B2779_FB5D_4c97_B565_705B090D090C
property	date_of_last_contact	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	contact_type	PerformedObservation.methodCode	EAID_73FF599A_FF91_423e_8A3F_8444BCC6DE0C
node	follow_up	PerformedObservation	EAID_E131CF62_27E5_4eee_A9D1_DE1E0C514227
property	file_type	Document.typeCode	EAID_FDC79908_50F3_4155_890F_D22BC26A0D2F
property	file_status	DocumentVersionWorkflowStatus.code	EAID_5509B1F7_C509_4b4d_A14B_94111CA3F95C
property	file_location	DocumentVersionRepresention.uniformResourceLocator	none
property	file_format	DocumentVersionRepresention.mediaType	none
relationship	of_case	(Activity as involvingActivity)<-[:be_participated_in_by]-(Subject as involvedSubject)	EAID_9CF299D7_9938_4f6c_B2A8_38AE69C6CAAC
property	veterinary_medical_center	Organization.name	EAID_81A04C4E_62E1_48e6_968C_35A9E047C579
property	site_short_name	Organization.name	EAID_81A04C4E_62E1_48e6_968C_35A9E047C579
property	registering_institution	Organization.name	EAID_81A04C4E_62E1_48e6_968C_35A9E047C579
property	patient_subgroup	ExperimentalUnit.subgroupCode	EAID_4BA2F03F_F88F_487f_A1EC_EDAF1E8449FC
property	initials	Person.initials	EAID_EE4A44CF_CC79_4a42_A220_ED9B68BED902
property	enrollment_document_number	DocumentVersion.identifier	EAID_D28380F0_C472_4812_A9C1_3A9F9BA74529
property	date_of_registration	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_of_informed_consent	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
node	enrollment	PerformedSubjectMilestone	EAID_AEE3EF4E_269D_437e_92DF_B0D7B7AFD258
relationship	on_visit	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
property	measured_how	PerformedObservation.methodCode	EAID_73FF599A_FF91_423e_8A3F_8444BCC6DE0C
property	measurable_lesion	PerformedLesionDescription.measureableIndicator	none
property	longest_measurement	PerformedLesionDescription.xDimension	EAID_2222142C_6AA3_4c58_926C_42CFD88ED388
property	lesion_site	TargetAnatomicSite.code	EAID_04F10D1E_EE77_4a7d_B678_FBAD46521EF6
property	lesion_number	PerformedLesionDescription.lesionNumber	EAID_87E49DB0_A5A2_4434_BBBD_A23968E0BF18
property	lesion_description	PerformedObservationResult.comment	EAID_FE4B2779_FB5D_4c97_B565_705B090D090C
property	evaluation_number	PerformedActivity.repetitionNumber	EAID_740989BD_7693_4d98_8ED9_CCDB7FAD8506
property	evaluation_code	PerformedDiagnosis.diseaseStatusCode	EAID_60CDFE45_56D3_43cd_BC49_8376E4E1F5D9
property	date_of_evaluation	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
node	disease_extent	PerformedDiagnosis	EAID_14259E0C_A906_4c99_93A9_0382F97128F5
relationship	of_case	(Activity as involvingActivity)<-[:be_participated_in_by]-(Subject as involvedSubject)	EAID_9CF299D7_9938_4f6c_B2A8_38AE69C6CAAC
property	stage_of_disease	PerformedDiagnosis.diseaseStatusCode	EAID_60CDFE45_56D3_43cd_BC49_8376E4E1F5D9
property	primary_disease_site	TargetAnatomicSite.code	EAID_04F10D1E_EE77_4a7d_B678_FBAD46521EF6
property	pathology_report	DocumentVersionRepresentation.content	EAID_FDB72F55_D9BC_4fc1_9CBF_F45084B383C1
property	histology_cytopathology	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	histological_grade	PerformedHistopathologyResult.differentiationGradeCode	EAID_43040E2F_A000_490f_9B61_A816090D1436
property	disease_term	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	date_of_diagnosis	PerformedObservationResult.createdDate	EAID_180B02CA_1B5D_4e12_B684_FB3738EE1970
property	concurrent_disease_type	PerformedObservationResult.typeCode	EAID_5F393AC1_BBB0_4764_B8C2_140D1D8A0FE5
property	concurrent_disease	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
node	diagnosis	PerformedDiagnosis	EAID_14259E0C_A906_4c99_93A9_0382F97128F5
property	weight	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	sex	BiologicEntity.sexGenotypeCode	EAID_A962895C_2060_4fa7_83BF_294FBC95D794
property	patient_age_at_enrollment	PerformedActivity.ageAtActivity	none
property	neutered_indicator	Animal.reproductiveOrgansPresentIndicator	EAID_0D4941A9_2643_47ee_8E32_51C23790A7DF
property	date_of_birth	BiologicEntity.birthDate	EAID_DB4314AC_39B9_4858_8592_1E2D5FF0B89D
property	breed	BiologicEntityClassification.breedCode	EAID_D13DD92E_E2A8_4dea_901F_748F2161340E
relationship	of_case	(Activity as involvingActivity)<-[:be_participated_in_by]-(Subject as involvedSubject)	EAID_9CF299D7_9938_4f6c_B2A8_38AE69C6CAAC
property	date_of_cycle_start	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	date_of_cycle_end	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	cycle_number	PerformedActivity.repetitionNumber	EAID_740989BD_7693_4d98_8ED9_CCDB7FAD8506
node	cycle	PerformedActivity	EAID_E2BB5EC1_013B_4928_A5BD_867351586A9E
node	adverse_event	AdverseEvent	EAID_EC125D25_9421_4273_BBF8_1148D7427E77
property	adverse_event_description	AdverseEvent.summary	EAID_3929ADE3_384B_4934_ADD1_1C9B2684A6C1
property	adverse_event_grade	AdverseEvent.gradeCode	EAID_7ED86143_40CF_4214_A0E1_12D8181C2BA6
property	adverse_event_grade_description	AdverseEvent.gradeCode	EAID_7ED86143_40CF_4214_A0E1_12D8181C2BA6
property	adverse_event_term	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	ae_agent_name	MaterialName.name	EAID_CB0BE9F4_F850_4b25_BF3D_B3844C7B7073
property	ae_dose	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	ae_other	DefinedActivity.nameCode	EAID_FA7EB2DC_D274_4a6d_9BA4_110E8931F8AD
property	attribution_to_commercial	EvaluatedActivityRelationship.probabilityCode	EAID_5C08D6A8_B57E_4407_A4CE_B2FA68E9F817
property	attribution_to_disease	EvaluatedActivityRelationship.probabilityCode	EAID_5C08D6A8_B57E_4407_A4CE_B2FA68E9F817
property	attribution_to_other	EvaluatedActivityRelationship.probabilityCode	EAID_5C08D6A8_B57E_4407_A4CE_B2FA68E9F817
property	attribution_to_research	EvaluatedActivityRelationship.probabilityCode	EAID_5C08D6A8_B57E_4407_A4CE_B2FA68E9F817
property	date_resolved	AdverseEvent.occurrenceDateRange	EAID_8937B897_DE68_45a8_95EC_1D70FA1B8824
property	dose_limiting_toxicity	PerformedObservationResult.value	EAID_D340400A_3351_4585_8CFC_3B4D7AAE60B7
property	unexpected_adverse_event	AdverseEvent.expectedIndicator	EAID_CC1F9CFA_8B5F_42d3_AD5D_89DE15CD802E
relationship	of_agent	(EvaluatedActivityRelationship as evaluatingEvaluatedActivityRelationship)<-[:evaluates]-(PerformedActivity as evaluatedPerformedActivity)	EAID_B2A10D7A_FF04_4c2a_84BA_C93C04F00632
relationship	of_case	(Activity as involvingActivity)<-[:be_participated_in_by]-(Subject as involvedSubject)	EAID_9CF299D7_9938_4f6c_B2A8_38AE69C6CAAC
node	agent	Product	EAID_ADDAE49F_E9A0_43e5_A4D2_77A37B1C1E1A
property	medication	MaterialName.name	EAID_CB0BE9F4_F850_4b25_BF3D_B3844C7B7073
node	agent_administration	PerformedSubstanceAdministration	EAID_CE070FC5_5B80_404b_8E4A_3249008E6F13
property	comment	Activity.comment	EAID_F45F210C_1655_4879_B167_701FCDE8D849
property	date_of_missed_dose	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	dose_level	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	dose_units_of_measure	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	medication	MaterialName.name	EAID_CB0BE9F4_F850_4b25_BF3D_B3844C7B7073
property	medication_actual_dose	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	medication_actual_units_of_measure	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	medication_course_number	PerformedActivity.repetitionNumber	EAID_740989BD_7693_4d98_8ED9_CCDB7FAD8506
property	medication_duration	PerformedActivity.duration	EAID_DCFA3C2C_57AA_4e3a_8C50_907B6E558621
property	medication_lot_number	Product.lotNumberText	EAID_E7D9180C_BCE6_4a8b_94A9_3F761C9E4137
property	medication_missed_dose	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	medication_units_of_measure	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	medication_vial_id	Material.identifier	EAID_98FC4BEA_81A7_4044_BB26_03DEE7AF70A0
property	missed_dose_amount	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	missed_dose_units_of_measure	PerformedSubstanceAdministration.productDose	EAID_B32907D7_1791_432b_91F2_0C5AF0FE7FA0
property	route_of_administration	PerformedSubstanceAdministration.routeOfAdministrationCode	EAID_8FDA2D1C_8E87_4da5_BFB4_6D1B563ED384
property	start_time	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
property	stop_time	PerformedActivity.dateRange	EAID_1D1404A9_F959_45a0_8D16_5810730D7066
relationship	of_agent	(PerformedMaterialStorage as usingPerformedMaterialStorage)<-[:use]-(Product as usedProduct)	EAID_547DECD7_8012_48e1_ADCA_D26814396B1A
relationship	on_visit	PerformedActivityRelationship	EAID_20A5F35B_9A01_435e_93E3_DD6F8BC36030
node	case	StudySubject	EAID_3AA85975_658A_4206_835C_3AD4279FB993
property	case_id	Subject.identifier	EAID_A1CAF977_70D5_4b18_83E9_767644F0A48D
property	patient_first_name	BiologicEntity.name	EAID_4A463DA2_D76D_43bc_A472_A36B9B89FA68
property	patient_id	BiologicEntity.identifier	EAID_FC66B312_1A3D_4925_BF7A_334B7C9745F1
relationship	member_of	StudySubjectProtocolVersionRelationship	EAID_4E263634_3D33_4e02_86F6_4A4EB8BF85FE
relationship	had_adverse_event	(PerformedObservationResult as resultedPerformedObservationResult)<-[:is_a_result_of]-(PerformedObservation as producingPerformedObservation)	EAID_0BA04DAD_F527_4327_9605_64250D05106E
relationship	went_off_treatment	PerformedStudySubjectMilestone	EAID_65204653_409B_45d3_8FAD_869E5912444C
relationship	went_off_study	PerformedStudySubjectMilestone	EAID_65204653_409B_45d3_8FAD_869E5912444C
